id,BLUE,GREEN,RED,NIR,R,G,B,NDVI,PAN,SAVI1,SAVI2,SAVI3,SAVI4,SAVI5,SAVI6,SAVI7,SAVI8,SAVI9,SAVI10,RED_blurred,GREEN_blurred,BLUE_blurred,NIR_blurred,NDVI_blurred,PAN_blurred,VEG
1,1648,2136,1542,5900,56,116,66,0.5855952700886858,2806.5,0.644146141546069,0.7026954395205718,0.7612431640756219,0.8197893152746426,0.8783338931810547,0.9368768978582753,0.995418329369718,1.053958187778793,1.1124964731489069,1.1710331855434637,1553,2042,1648,5590,0.5625963414203472,2708.738944754661,1
2,1654,1877,1588,4860,60,90,67,0.5074441687344913,2494.75,0.5581799289713248,0.6089141155671349,0.6596467285951336,0.7103777681285279,0.7611072342405211,0.811835127004311,0.8625614464930916,0.9132861927800522,0.964009365938377,1.0147309660412467,1553,1947,1644,5402,0.5494626723830476,2636.8173849195337,1
3,1628,1882,1508,6004,52,90,64,0.5985090521831736,2755.5,0.6583511934079685,0.7181917414339342,0.7780306963246941,0.8378680581438688,0.8977038269550749,0.9575380028219258,1.0173705858080317,1.0772015759769993,1.1370309733924318,1.196858778117929,1540,1851,1634,5154,0.5324806022127848,2545.3448951171104,1
4,1632,1756,1562,4144,58,77,65,0.4525061338941465,2273.5,0.4977480240444437,0.542988328484806,0.5882270472985998,0.6334641805691855,0.6786997283799177,0.7239336908141449,0.7691660679552105,0.8143968598864513,0.8596260666911985,0.9048536884527772,1522,1761,1619,4593,0.4937796320360326,2374.451416477247,1
5,1603,1654,1475,4054,49,67,62,0.46644962922770844,2196.5,0.5130853122569676,0.559719308399045,0.6063516177454651,0.6529822403877455,0.6996111764173976,0.7462384259259259,0.7928639890048286,0.8394878657455965,0.886110056239715,0.9327305605786619,1493,1690,1594,4130,0.464774797868443,2227.420735345823,1
6,1533,1594,1444,3598,46,61,55,0.4272114240380801,2042.25,0.4699232462664366,0.512633374320733,0.555341808301767,0.5980485483103284,0.6407535944471988,0.6834569468131519,0.7261586055089535,0.7688585706353613,0.8115568422931251,0.8542534205829864,1481,1699,1578,4170,0.4706005273183417,2232.5893722128358,1
7,1606,1893,1528,4996,54,91,62,0.5315757204169221,2505.75,0.584724329792615,0.6378713098924005,0.6910166607911961,0.7441603825639139,0.7973024752854625,0.8504429390307452,0.9035817738746609,0.9567189798921041,1.0098545571579642,1.0629885057471264,1497,1759,1590,4569,0.5009473266051094,2354.2490347421344,1
8,1621,1758,1502,5112,52,78,64,0.5458119141215604,2498.25,0.6003840280612631,0.6549544918508663,0.7095233055652147,0.7640904692791486,0.8186559830675032,0.8732198470051099,0.9277820611667952,0.982342625627381,1.036901540461685,1.09145880574452,1515,1752,1605,4650,0.5041302656008692,2380.813867217851,1
9,1575,1620,1488,3938,50,63,59,0.451529671949871,2155.25,0.4966734855605315,0.5418156352511887,0.5869561211138344,0.6320949432404541,0.6772321017230258,0.7223675966535215,0.7675014281239059,0.812633596226137,0.8577641010521662,0.9028929426939377,1562,1740,1622,4352,0.4673174171416738,2319.4899485337937,1
10,1684,1807,1742,3944,76,82,70,0.3872669715089694,2294.25,0.4259861768171506,0.46470402025957586,0.5034205019080948,0.5421356218345526,0.5808493801107887,0.6195617768086379,0.6582728119999297,0.6969824857564887,0.7356907981501346,0.7743977492526816,1625,1833,1658,4375,0.4534407733984581,2373.351602594471,1
