BLUE,GREEN,RED,NIR,NDVI,PAN,SAVI1,SAVI2,SAVI3,SAVI4,SAVI5,SAVI6,SAVI7,SAVI8,SAVI9,SAVI10,RED_blurred,GREEN_blurred,BLUE_blurred,NIR_blurred,NDVI_blurred,PAN_blurred,VEG
1648,2136,1542,5900,0.585595270088686,2806.5,0.644146141546069,0.702695439520572,0.761243164075622,0.819789315274643,0.878333893181055,0.936876897858275,0.995418329369718,1.05395818777879,1.11249647314891,1.17103318554346,1553,2042,1648,5590,0.562596341420347,2708.73894475466,1
1654,1877,1588,4860,0.507444168734491,2494.75,0.558179928971325,0.608914115567135,0.659646728595134,0.710377768128528,0.761107234240521,0.811835127004311,0.862561446493092,0.913286192780052,0.964009365938377,1.01473096604125,1553,1947,1644,5402,0.549462672383048,2636.81738491953,1
1628,1882,1508,6004,0.598509052183174,2755.5,0.658351193407969,0.718191741433934,0.778030696324694,0.837868058143869,0.897703826955075,0.957538002821926,1.01737058580803,1.077201575977,1.13703097339243,1.19685877811793,1540,1851,1634,5154,0.532480602212785,2545.34489511711,1
1632,1756,1562,4144,0.452506133894147,2273.5,0.497748024044444,0.542988328484806,0.5882270472986,0.633464180569186,0.678699728379918,0.723933690814145,0.76916606795521,0.814396859886451,0.859626066691198,0.904853688452777,1522,1761,1619,4593,0.493779632036033,2374.45141647725,1
1603,1654,1475,4054,0.466449629227708,2196.5,0.513085312256968,0.559719308399045,0.606351617745465,0.652982240387746,0.699611176417398,0.746238425925926,0.792863989004829,0.839487865745597,0.886110056239715,0.932730560578662,1493,1690,1594,4130,0.464774797868443,2227.42073534582,1
1533,1594,1444,3598,0.42721142403808,2042.25,0.469923246266437,0.512633374320733,0.555341808301767,0.598048548310328,0.640753594447199,0.683456946813152,0.726158605508954,0.768858570635361,0.811556842293125,0.854253420582986,1481,1699,1578,4170,0.470600527318342,2232.58937221284,1
1606,1893,1528,4996,0.531575720416922,2505.75,0.584724329792615,0.6378713098924,0.691016660791196,0.744160382563914,0.797302475285462,0.850442939030745,0.903581773874661,0.956718979892104,1.00985455715796,1.06298850574713,1497,1759,1590,4569,0.500947326605109,2354.24903474213,1
1621,1758,1502,5112,0.54581191412156,2498.25,0.600384028061263,0.654954491850866,0.709523305565215,0.764090469279149,0.818655983067503,0.87321984700511,0.927782061166795,0.982342625627381,1.03690154046169,1.09145880574452,1515,1752,1605,4650,0.504130265600869,2380.81386721785,1
1575,1620,1488,3938,0.451529671949871,2155.25,0.496673485560531,0.541815635251189,0.586956121113834,0.632094943240454,0.677232101723026,0.722367596653521,0.767501428123906,0.812633596226137,0.857764101052166,0.902892942693938,1562,1740,1622,4352,0.467317417141674,2319.48994853379,1
1684,1807,1742,3944,0.387266971508969,2294.25,0.425986176817151,0.464704020259576,0.503420501908095,0.542135621834553,0.580849380110789,0.619561776808638,0.65827281199993,0.696982485756489,0.735690798150135,0.774397749252682,1625,1833,1658,4375,0.453440773398458,2373.35160259447,1
